unique_ind_id,ind_num,site,locality,site_code,year,month,day_of_capture,genus,species_name,species,capture_date,capt_gps_c_f,capt_gps_num,capture_gps_code,capt_time_hr,capt_time_min,capture_time,transect,height_m,temp_C,temp_substrate_C,release_date,rel_time_hr,rel_time_min,release_time,processing_date,age_cat,sex,length_SVL_mm,body/pelvis_width_mm,tail_width_mm,femur_width_mm,mass_g,vp_time_hr,vp_time_min,venipuncture_time,venipuncture_site,blood_volume_cat,blood_volume_uL,physical_exam,specimens_blood_DBS,specimens_fecal,fecal_tube_count,fecal_sample_time,specimens_micro_slide,photo_y_n,obs_body_coloration,Bands etc.,obs_other,rostral_ext_mm,plant_substrate_local_name,plant_substrate_scientific_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMB.C.2025.07.001,1,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,NMB C01,18,30,18:30,NA,1.2,NA,NA,09_juil._2025,11,15,11:15,09_juil._2025,Adult,F,130,NA,NA,NA,55,06,40,06:40,cocc.v,Large,500,5,1,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.002,2,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Brookesia ,peyrierasi,Brookesia  peyrierasi,,NA,NA,Capture1c,18,50,18:50,NA,0,NA,NA,09_juil._2025,13,56,13:56,09_juil._2025,Adult,M,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.003,3,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,Nmb c03,14,47,14:47,NA,1.8,NA,NA,10_juil._2025,11,30,11:30,10_juil._2025,Juvenile,NA,65,NA,NA,NA,5,08,18,08:18,cocc.v,Small,50,5,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.004,4,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,Nmb c04,18,39,18:39,NA,1.8,NA,NA,10_juil._2025,11,30,11:30,10_juil._2025,Juvenile,F,65,NA,NA,NA,4,08,29,08:29,cocc.v,Small,20,5,1,1,1,NA,NA,0,NA,NA,shedding,NA,NA,NA
NMB.C.2025.07.005,5,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,C005,06,30,06:30,NA,1.5,NA,NA,10_juil._2025,15,36,15:36,10_juil._2025,Juvenile,F,60,NA,NA,NA,4,08,34,08:34,cocc.v,Medium,50,5,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.006,6,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Brookesia ,peyrierasi,Brookesia  peyrierasi,,NA,NA,Nmb c06,11,13,11:13,T16,0,NA,NA,10_juil._2025,16,53,16:53,10_juil._2025,Adult,M,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.007,7,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,Nmb c007,18,29,18:29,NA,NA,NA,NA,11_juil._2025,09,30,09:30,11_juil._2025,Juvenile,F,60,NA,NA,NA,4,07,21,07:21,cocc.v,Medium,50,5,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.008,8,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,NA,18,30,18:30,NA,NA,NA,NA,11_juil._2025,09,30,09:30,11_juil._2025,Juvenile,F,57,NA,NA,NA,5,07,28,07:28,cocc.v,Small,20,5,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
NMB.C.2025.07.009,9,Nosy Mangabe,Nosy Mangabe forest,NMB,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,NA,0009,10,56,10:56,NA,2.5,NA,NA,12_juil._2025,15,10,15:10,11_juil._2025,Juvenile,F,55,NA,NA,NA,5,13,32,13:32,cocc.v,Large,125,5,1,0,0,NA,NA,0,NA,NA,observed near old lighthouse,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTA.C.2025.07.001,1,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0011,MTA.0011,18,16,18:16,TCE,0.1,NA,NA,20_juil._2025,17,04,17:04,20_juil._2025,Juvenile,F,60,NA,NA,NA,4,08,40,08:40,cocc.v,Small,50,5,1,1,1,14:20,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.002,2,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0011,MTA.0011,18,18,18:18,TCE,0.1,NA,NA,20_juil._2025,17,04,17:04,20_juil._2025,Juvenile,F,72,NA,NA,NA,7,08,45,08:45,cocc.v,Large,100,5,1,1,1,15:04,1,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.003,3,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0011,MTA.0011,18,18,18:18,TCE,0.1,NA,NA,20_juil._2025,17,04,17:04,20_juil._2025,Juvenile,M,68,NA,NA,NA,7,08,50,08:50,cocc.v,Small,50,5,1,1,1,14:17,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.004,4,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Calumma,linotum,Calumma linotum,,NA,0012,MTA.0012,18,23,18:23,TCE,1.0,NA,NA,20_juil._2025,17,08,17:08,20_juil._2025,Sub-Adult,F,52,NA,NA,NA,4,08,56,08:56,cocc.v,Small,1 drop,5,1,0,0,NA,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.005,5,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,petteri,Furcifer petteri,,NA,0013,MTA.0013,18,26,18:26,TCE,2.0,NA,NA,20_juil._2025,17,08,17:08,20_juil._2025,Juvenile,M,49,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,0,1,1,14:18,0,,NA,NA,"too small, no blood",NA,NA,NA
MTA.C.2025.07.006,6,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,petteri,Furcifer petteri,,NA,0014,MTA.0014,18,29,18:29,TCE,1.6,NA,NA,20_juil._2025,17,10,17:10,20_juil._2025,Juvenile,M,45,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,0,1,1,15:58,0,,NA,NA,"too small, no blood",NA,NA,NA
MTA.C.2025.07.007,7,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0015,MTA.0015,18,32,18:32,TCE,1.0,NA,NA,20_juil._2025,17,11,17:11,20_juil._2025,Sub-Adult,F,95,NA,NA,NA,16,09,05,09:05,cocc.v,Large,125,5,1,0,0,NA,1,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.008,8,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,petteri,Furcifer petteri,,NA,0016,MTA.0016,18,34,18:34,TCE,1.0,NA,NA,20_juil._2025,17,13,17:13,20_juil._2025,Juvenile,M,37,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,0,1,1,14:17,0,,NA,NA,"too small, no blood",NA,NA,NA
MTA.C.2025.07.009,9,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,petteri,Furcifer petteri,,NA,0017,MTA.0017,18,36,18:36,TCE,1.0,NA,NA,20_juil._2025,17,13,17:13,20_juil._2025,Juvenile,F,55,NA,NA,NA,4,09,11,09:11,cocc.v,NA,NA,5,0,1,1,15:24,0,,NA,NA,"blood draw attempted without success, too small",NA,NA,NA
MTA.C.2025.07.010,10,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0018,MTA.0018,18,40,18:40,TCE,0.5,NA,NA,20_juil._2025,17,15,17:15,20_juil._2025,Juvenile,F,67,NA,NA,NA,7,09,17,09:17,cocc.v,Small,25,5,1,1,1,14:14,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.011,11,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0019,MTA.0019,18,42,18:42,TCE,1.0,NA,NA,20_juil._2025,17,16,17:16,20_juil._2025,Sub-Adult,F,95,NA,NA,NA,17,08,30,08:30,cocc.v,Large,100,5,1,0,0,NA,1,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.012,12,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0020,MTA.0020,18,46,18:46,TCE,2.0,NA,NA,20_juil._2025,17,18,17:18,20_juil._2025,Sub-Adult,M,203,NA,NA,NA,35,08,25,08:25,cocc.v,Large,150,5,1,0,0,NA,1,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.013,13,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0021,MTA.0021,18,50,18:50,TCE,2.0,NA,NA,20_juil._2025,17,19,17:19,20_juil._2025,Juvenile,F,88,NA,NA,NA,14,07,27,07:27,cocc.v,Small,20,5,1,0,0,NA,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.014,14,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0023,MTA.0023,18,55,18:55,TCE,1.0,NA,NA,20_juil._2025,17,21,17:21,20_juil._2025,Juvenile,F,90,NA,NA,NA,12,09,24,09:24,cocc.v,Small,30,5,1,1,1,15:34,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.015,15,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0023,MTA.0023,18,56,18:56,TCE,1.0,NA,NA,20_juil._2025,17,21,17:21,20_juil._2025,Juvenile,F,90,NA,NA,NA,11,07,09,07:09,cocc.v,Small,40,5,1,0,0,NA,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.016,16,Montagne d'Ambre,Locality 1: Joffreville road edge,MTA,2025,7,,Furcifer,pardalis,Furcifer pardalis,,NA,0024,MTA.0024,18,57,18:57,TCE,0.6,NA,NA,20_juil._2025,17,22,17:22,20_juil._2025,Juvenile,F,90,NA,NA,NA,14,07,04,07:04,cocc.v,Small,20,5,1,1,1,14:12,0,,NA,NA,NA,NA,NA,NA
MTA.C.2025.07.017,17,Montagne d'Ambre,Locality 2: Montagne d'Ambre forest,MTA,2025,7,,Calumma,amber,Calumma amber,,NA,0025,MTA.0025,19,12,19:12,OPP ,2.0,NA,NA,20_juil._2025,16,53,16:53,20_juil._2025,Adult,M,150,NA,NA,NA,36,06,45,06:45,cocc.v,Large,50,5,1,1,1,14:13,1,,NA,NA,spotted from car on way back to camp,NA,NA,NA
MTA.C.2025.07.018,18,Montagne d'Ambre,Locality 2: Montagne d'Ambre forest,MTA,2025,7,,Calumma,amber,Calumma amber,,NA,0026,MTA.0026,19,21,19:21,OPP ,4.0,NA,NA,20_juil._2025,16,50,16:50,20_juil._2025,Adult,M,150,NA,NA,NA,26,06,55,06:55,cocc.v,Large,150,5,1,1,1,15:46,0,,NA,NA,spotted from car on way back to camp,NA,NA,NA
MTA.C.2025.07.019,19,Montagne d'Ambre,Locality 2: Montagne d'Ambre forest,MTA,2025,7,,Calumma,linotum,Calumma linotum,,NA,0035,MTA.0035,18,56,18:56,T10 ,1.2,NA,NA,20_juil._2025,11,06,11:06,20_juil._2025,Adult,F,55,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,5,0,1,1,NA,0,,NA,NA,"too small, no blood",NA,NA,NA
