code_ind,ind_num,site,locality,site_code,year,month,genus,species_name,species,subgenus,age,sex,length_mm,mass_g,gps_prefix,gps_num,capture_gps_code,transect,capture_date,capture_time,capture_notes,release_date,release_time,processing_date,vp_time,vp_site,dbs_size,physical_exam,blood_sample_dbs,whole_body_specimen,photo,body_color,dorsal,ventral,other,observation
NMB.F.2025.07.001,1,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Juvenile,M,35,3,,Capture 1,Capture 1,T23,08-Jul-25,15:36,,09-Jul-25,11:30,08-Jul-25,7:00,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.002,2,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,F,50,7,,Capture 2,Capture 2,T25,08-Jul-25,15:40,,09-Jul-25,11:30,08-Jul-25,7:11,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.003,3,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,50,9,,Capture 3,Capture 3,T25,08-Jul-25,15:48,,09-Jul-25,11:30,08-Jul-25,7:15,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.004,4,Nosy Mangabe,,NMB,2025,7,,,Plethodontohyla notosticta,,Adult,F,45,8,,Capture 4,Capture 4,T5,08-Jul-25,17:52,,09-Jul-25,11:44,08-Jul-25,7:28,F.V.,Large,5,1,,N,,,,,
NMB.F.2025.07.005,5,Nosy Mangabe,,NMB,2025,7,,,Plethodontohyla notosticta,,Adult,F,45,6,,Capture 5,Capture 5,T5,08-Jul-25,17:59,,09-Jul-25,11:44,08-Jul-25,8:50,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.006,6,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,45,7,,Capture 6,Capture 6,T5,08-Jul-25,17:59,,09-Jul-25,11:44,08-Jul-25,8:58,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.007,7,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,40,5,,Capture 7,Capture 7,T5,08-Jul-25,18:04,,09-Jul-25,11:43,08-Jul-25,9:02,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.008,8,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,55,10,,Capture 8,Capture 8,T5,08-Jul-25,18:11,,09-Jul-25,11:41,08-Jul-25,9:06,F.V.,Medium,5,1,,N,,,,,
NMB.F.2025.07.009,9,Nosy Mangabe,,NMB,2025,7,,,Gephyromantis luteus,,Adult,M,45,5,,Capture 9,Capture 9,T5,08-Jul-25,18:17,,09-Jul-25,11:40,08-Jul-25,9:10,F.V.,Small,5,1,,N,,,,,
NMB.F.2025.07.010,10,Nosy Mangabe,,NMB,2025,7,,,Mantidactylus grandidieri,,Juvenile,M,65,27,,Capture 10,Capture 10,T6,08-Jul-25,18:23,,09-Jul-25,11:38,08-Jul-25,9:18,F.V.,Small,5,1,,N,,,,,
