name,site_code,date,time,ele,lat,lon,c_f
T0,NMB,2025-07-08,2025-07-08T11:10:43Z,-52.998329,-18.884259,47.533415,NA
T1,NMB,2025-07-08,2025-07-08T11:23:21Z,-48.603573,-15.498055,49.762871,NA
T2,NMB,2025-07-08,2025-07-08T11:27:54Z,-48.995464,-15.498207,49.762872,NA
T3,NMB,2025-07-08,2025-07-08T11:31:04Z,-48.678219,-15.498995,49.762775,NA
T4,NMB,2025-07-08,2025-07-08T11:33:16Z,-45.58976,-15.499781,49.762737,NA
T5,NMB,2025-07-08,2025-07-08T11:36:51Z,-43.537006,-15.500581,49.763076,NA
T6,NMB,2025-07-08,2025-07-08T11:39:03Z,-47.22263,-15.501381,49.762854,NA
T7,NMB,2025-07-08,2025-07-08T11:41:11Z,-46.541489,-15.502168,49.762629,NA
T8,NMB,2025-07-08,2025-07-08T11:43:28Z,-48.071724,-15.502728,49.76194,NA
T9,NMB,2025-07-08,2025-07-08T11:45:29Z,-46.205585,-15.503202,49.76197,NA
T10,NMB,2025-07-08,2025-07-08T11:49:47Z,-40.532524,-15.503715,49.762664,NA
T11,NMB,2025-07-08,2025-07-08T11:51:34Z,-38.059891,-15.503966,49.763129,NA
T12,NMB,2025-07-08,2025-07-08T11:54:31Z,-28.094713,-15.504639,49.763485,NA
T13,NMB,2025-07-08,2025-07-08T11:57:17Z,-23.233423,-15.505101,49.764203,NA
T15,NMB,2025-07-08,2025-07-08T12:07:04Z,29.783567,-15.506081,49.765217,NA
T16,NMB,2025-07-08,2025-07-08T12:12:00Z,50.404396,-15.505817,49.765812,NA
t17,NMB,2025-07-08,2025-07-08T12:16:19Z,74.925453,-15.50503,49.766348,NA
T18,NMB,2025-07-08,2025-07-08T12:19:36Z,109.896889,-15.504389,49.766757,NA
T19,NMB,2025-07-08,2025-07-08T12:23:18Z,84.358788,-15.503813,49.76741,NA
T20,NMB,2025-07-08,2025-07-08T12:26:16Z,96.591324,-15.503141,49.767839,NA
T21,NMB,2025-07-08,2025-07-08T12:29:10Z,123.015839,-15.502452,49.768087,NA
T22,NMB,2025-07-08,2025-07-08T12:31:56Z,138.626083,-15.501695,49.768489,NA
Capture 1,NMB,2025-07-08,2025-07-08T12:36:26Z,158.164551,-15.501094,49.768813,NA
T23,NMB,2025-07-08,2025-07-08T12:37:27Z,158.929672,-15.501031,49.768822,NA
Capture 2,NMB,2025-07-08,2025-07-08T12:40:50Z,156.634323,-15.500905,49.768801,NA
T24,NMB,2025-07-08,2025-07-08T12:43:40Z,147.340958,-15.50066,49.768532,NA
T25,NMB,2025-07-08,2025-07-08T12:46:31Z,134.557907,-15.500468,49.767978,NA
Capture 3,NMB,2025-07-08,2025-07-08T12:48:03Z,130.461731,-15.500551,49.767856,NA
T26,NMB,2025-07-08,2025-07-08T12:53:00Z,99.017303,-15.500617,49.767266,NA
T27,NMB,2025-07-08,2025-07-08T12:56:24Z,84.601379,-15.500939,49.766677,NA
T28,NMB,2025-07-08,2025-07-08T12:59:32Z,58.811352,-15.501186,49.765932,NA
T29,NMB,2025-07-08,2025-07-08T13:04:03Z,39.506149,-15.500805,49.7653,NA
T30,NMB,2025-07-08,2025-07-08T13:06:50Z,20.658152,-15.50083,49.764644,NA
T31,NMB,2025-07-08,2025-07-08T13:14:41Z,-12.260529,-15.501214,49.763771,NA
T32,NMB,2025-07-08,2025-07-08T13:17:20Z,-35.344662,-15.501257,49.763087,NA
End,NMB,2025-07-08,2025-07-08T13:20:33Z,-51.729355,-15.501243,49.762891,NA
T0 north,NMB,2025-07-08,2025-07-08T14:12:54Z,-54.192657,-15.497346,49.762633,NA
T1n,NMB,2025-07-08,2025-07-08T14:29:22Z,-7.044672,-15.49739,49.763921,NA
T2n,NMB,2025-07-08,2025-07-08T14:32:22Z,3.63897,-15.497261,49.764336,NA
T3n,NMB,2025-07-08,2025-07-08T14:34:08Z,5.906328,-15.497191,49.764342,NA
T4n,NMB,2025-07-08,2025-07-08T14:36:55Z,19.743744,-15.496665,49.76427,NA
0001,NMB,2025-07-08,2025-07-08T14:44:03Z,47.623852,-15.496313,49.765085,NA
Big frog,NMB,2025-07-08,2025-07-08T14:44:07Z,47.987747,-15.496317,49.765057,NA
T5N,NMB,2025-07-08,2025-07-08T14:48:17Z,45.571098,-15.496364,49.76492,NA
Tree hole 2,NMB,2025-07-08,2025-07-08T14:49:09Z,46.606804,-15.496263,49.764907,NA
Capture4,NMB,2025-07-08,2025-07-08T14:52:57Z,48.948811,-15.495988,49.764963,NA
Capture 5&6,NMB,2025-07-08,2025-07-08T14:59:12Z,48.043732,-15.495892,49.764948,NA
Capture7,NMB,2025-07-08,2025-07-08T15:04:06Z,47.269283,-15.495972,49.764899,NA
T5.5n,NMB,2025-07-08,2025-07-08T15:05:27Z,47.801132,-15.495848,49.764824,NA
Capture8,NMB,2025-07-08,2025-07-08T15:11:38Z,45.785706,-15.495771,49.764752,NA
Capture9,NMB,2025-07-08,2025-07-08T15:17:27Z,49.098099,-15.495629,49.764713,NA
T6n,NMB,2025-07-08,2025-07-08T15:20:23Z,48.892826,-15.495627,49.76472,NA
Capture10,NMB,2025-07-08,2025-07-08T15:23:17Z,50.730972,-15.495376,49.76478,NA
Capture 11,NMB,2025-07-08,2025-07-08T15:25:21Z,51.048214,-15.495387,49.764822,NA
Capture12,NMB,2025-07-08,2025-07-08T15:29:22Z,57.141155,-15.495247,49.764597,NA
Capture 13,NMB,2025-07-08,2025-07-08T15:31:29Z,56.152103,-15.495281,49.764627,NA
Capture 14,NMB,2025-07-08,2025-07-08T15:38:00Z,38.890324,-15.495659,49.764222,NA
T7n,NMB,2025-07-08,2025-07-08T15:40:01Z,38.451782,-15.495714,49.764278,NA
Capture15,NMB,2025-07-08,2025-07-08T15:43:49Z,27.189636,-15.49581,49.763946,NA
Capture1c,NMB,2025-07-08,2025-07-08T15:50:55Z,22.785549,-15.495911,49.763777,NA
T8n,NMB,2025-07-08,2025-07-08T15:52:21Z,21.759172,-15.495874,49.763734,NA
Capture16,NMB,2025-07-08,2025-07-08T15:55:44Z,14.639855,-15.495936,49.763509,NA
T9n,NMB,2025-07-08,2025-07-08T16:02:20Z,-8.780181,-15.495317,49.763115,NA
Capture17,NMB,2025-07-08,2025-07-08T16:03:45Z,-8.127032,-15.495385,49.762984,NA
Capture18,NMB,2025-07-08,2025-07-08T16:07:00Z,-16.935205,-15.495426,49.762613,NA
Capture19,NMB,2025-07-08,2025-07-08T16:11:21Z,-27.404242,-15.495496,49.762438,NA
Capt20,NMB,2025-07-08,2025-07-08T16:15:22Z,-28.542585,-15.495597,49.762555,NA
T10n,NMB,2025-07-08,2025-07-08T16:16:42Z,-37.695995,-15.495629,49.762118,NA
Capture21,NMB,2025-07-08,2025-07-08T16:20:17Z,-38.955639,-15.495934,49.762143,NA
NMB C01,NMB,2025-07-09,2025-07-09T08:25:47Z,-45.095234,-15.500478,49.763203,NA
Nmb c03,NMB,2025-07-09,2025-07-09T11:47:35Z,-30.558016,-15.496452,49.761701,NA
0002,NMB,2025-07-09,2025-07-09T12:58:44Z,21.227324,-15.497321,49.76229,NA
0003,NMB,2025-07-09,2025-07-09T13:10:41Z,-2.761885,-15.491646,49.76027,NA
0004,NMB,2025-07-09,2025-07-09T13:12:41Z,-4.609362,-15.491632,49.760252,NA
0005,NMB,2025-07-09,2025-07-09T13:19:09Z,7.931088,-15.493039,49.76092,NA
0006,NMB,2025-07-09,2025-07-09T13:30:47Z,-9.04144,-15.495655,49.760786,NA
0007,NMB,2025-07-09,2025-07-09T13:36:06Z,-19.099926,-15.49628,49.761837,NA
0008,NMB,2025-07-09,2025-07-09T13:53:14Z,-21.329962,-15.498395,49.762743,NA
0009,NMB,2025-07-09,2025-07-09T14:01:30Z,-18.297487,-15.501504,49.762907,NA
0010,NMB,2025-07-09,2025-07-09T14:08:50Z,-17.588354,-15.503706,49.762705,NA
0011,NMB,2025-07-09,2025-07-09T14:14:50Z,-0.970392,-15.505299,49.764056,NA
0012,NMB,2025-07-09,2025-07-09T14:15:26Z,0.475865,-15.504923,49.763661,NA
0013,NMB,2025-07-09,2025-07-09T14:16:27Z,2.939168,-15.504739,49.763629,NA
0014,NMB,2025-07-09,2025-07-09T14:25:03Z,70.707985,-15.506631,49.765422,NA
Nmb c04,NMB,2025-07-09,2025-07-09T15:39:25Z,-36.594975,-15.496199,49.761948,NA
0015,NMB,2025-07-10,2025-07-10T07:02:15Z,-40.06599,-15.497999,49.76289,NA
0016,NMB,2025-07-10,2025-07-10T07:05:57Z,-38.563747,-15.497876,49.762893,NA
0017,NMB,2025-07-10,2025-07-10T07:12:27Z,-31.369785,-15.49588,49.761006,NA
0018,NMB,2025-07-10,2025-07-10T07:15:09Z,-24.28779,-15.495493,49.760386,NA
0019,NMB,2025-07-10,2025-07-10T07:17:18Z,-32.489468,-15.494822,49.759893,NA
0020,NMB,2025-07-10,2025-07-10T07:19:33Z,-19.529139,-15.494061,49.759992,NA
0021,NMB,2025-07-10,2025-07-10T07:21:46Z,-9.545298,-15.49349,49.760475,NA
0022,NMB,2025-07-10,2025-07-10T07:24:37Z,1.101022,-15.493247,49.760958,NA
0023,NMB,2025-07-10,2025-07-10T07:26:51Z,8.024395,-15.494042,49.761231,NA
0024,NMB,2025-07-10,2025-07-10T07:29:43Z,24.521057,-15.494401,49.761706,NA
0025,NMB,2025-07-10,2025-07-10T07:33:14Z,36.921547,-15.49376,49.762098,NA
0026,NMB,2025-07-10,2025-07-10T07:36:44Z,31.882975,-15.493423,49.762726,NA
Capture35,NMB,2025-07-10,2025-07-10T07:40:08Z,33.487854,-15.493228,49.762764,NA
Capture36,NMB,2025-07-10,2025-07-10T07:42:57Z,35.764542,-15.493207,49.762802,NA
0027,NMB,2025-07-10,2025-07-10T07:48:55Z,52.447819,-15.492902,49.763449,NA
0028,NMB,2025-07-10,2025-07-10T07:53:20Z,59.221901,-15.492717,49.763617000000004,NA
Cap38,NMB,2025-07-10,2025-07-10T07:53:25Z,58.997963,-15.492739,49.763618,NA
Cap39,NMB,2025-07-10,2025-07-10T07:56:55Z,75.14006,-15.49278,49.764141,NA
0029,NMB,2025-07-10,2025-07-10T07:58:20Z,78.331154,-15.492868,49.764293,NA
0030,NMB,2025-07-10,2025-07-10T08:00:55Z,100.510208,-15.492986,49.764977,NA
Cap40,NMB,2025-07-10,2025-07-10T08:04:50Z,99.931709,-15.493081,49.765103,NA
0031,NMB,2025-07-10,2025-07-10T08:06:03Z,102.656273,-15.493252,49.765197,NA
0032,NMB,2025-07-10,2025-07-10T08:09:05Z,111.445786,-15.493891,49.765609,NA
0033,NMB,2025-07-10,2025-07-10T08:11:40Z,98.018913,-15.494153,49.765039,NA
Nmb c6,NMB,2025-07-10,2025-07-10T08:13:09Z,94.547897,-15.494232,49.76489,NA
0034,NMB,2025-07-10,2025-07-10T08:16:23Z,79.833397,-15.494561,49.764549,NA
Cap41,NMB,2025-07-10,2025-07-10T08:19:51Z,83.071152,-15.495113,49.764658,NA
0035,NMB,2025-07-10,2025-07-10T08:22:16Z,79.581467,-15.495195,49.764579,NA
0036,NMB,2025-07-10,2025-07-10T08:24:55Z,58.083557,-15.495802,49.764115,NA
Cap42,NMB,2025-07-10,2025-07-10T08:24:57Z,58.027573,-15.495801,49.764117,NA
Cap43,NMB,2025-07-10,2025-07-10T08:29:12Z,50.339081,-15.495736,49.763853,NA
C005,NMB,2025-07-10,2025-07-10T12:36:08Z,1.315628,-15.497398,49.762237,NA
Nmb c06,NMB,2025-07-10,2025-07-10T13:53:31Z,-12.493796,-15.496632,49.762249,NA
Cap july10,NMB,2025-07-10,2025-07-10T14:49:58Z,22.430983,-15.493055,49.760649,NA
Nmb c007,NMB,2025-07-10,2025-07-10T15:29:46Z,-13.874739,-15.496312,49.761555,NA
0037,NMB,2025-07-11,2025-07-11T14:24:27Z,99.063957,-15.49734,49.762334,NA
0038,NMB,2025-07-12,2025-07-12T12:16:06Z,191.400482,-15.506145,49.760621,NA
0039,NMB,2025-07-12,2025-07-12T12:17:22Z,192.305557,-15.506174,49.760591,NA
